Identifier,Label,Description,Created,Modified,History notes,Type
1925,Housing - power to enter and determine short tenancies of land acquired or appropriated,"Where a local housing authority have agreed to purchase or have determined to appropriate land for the purposes of housing/area improvement if a person's interest in possession of the land is not greater than that of a tenant for a year, or from year to year, the authority may, after giving him not less than 14 days' notice, enter on and take possession of the land, or such part of the land as is specified in the notice, without previous consent.",2015-07-24,2015-07-24,,power
1926,Housing - power to compensate shop-keepers in areas affected by clearance,"Where as a result of action taken by a local housing authority relating to clearance areas, the population of the locality is materially decreased, the authority may pay to any person carrying on a retail shop in the locality such reasonable allowance as they think fit towards any loss involving personal hardship ",2015-07-24,2015-07-24,,power
1927,Housing - entry for survey or examination to determine whether housing powers should be exercised,"A person authorised by the local housing authority may at any reasonable time, on giving seven days' notice of his intention to the occupier, and to the owner if the owner is known, enter premises for the purpose of survey and examination where it appears to the authority that survey or examination is necessary in order to determine whether any powers should be exercised.",2015-07-24,2015-07-24,,power
1928,Housing associations - provision of land by county councils,"Where a housing association wishes to erect houses which in the opinion of the Secretary of State are required and the local housing authority in whose district the houses are proposed to be built are unwilling to acquire land with a view to selling or leasing it to the association, the county council, on the application of the association, may acquire land for that purpose.",2015-07-24,2015-07-24,,power
1929,Housing associations - powers of local authorities to promote and assist housing associations,A local authority may promote the formation or extension of a housing association and may for the assistance of a housing association subscribe for share or loan capital of the association.,2015-07-24,2015-07-24,,power
1930,Housing associations - power to supply furniture to housing association tenants,"A local housing authority may sell, or supply under a hire-purchase agreement, furniture to the occupants of houses provided by a housing association under arrangements made with the authority and may buy furniture for the purpose.",2015-07-24,2015-07-24,,power
1931,Landlord and tenant - power of local housing authority to prosecute ,Proceedings for an offence under any provision of the Landlord and Tenant Act may be brought by a local housing authority.,2015-07-24,2015-07-24,,power
1932,Mineral workings - power to enter former mining land etc,"Where a local authority have carried out, are carrying out or are considering whether to carry out works on any land under section 89(2) of the National Parks and Access to the Countryside Act 1949 (treatment of derelict land etc.) for the purpose of reclaiming or improving land under which relevant operations have been, but are no longer being, carried out an authorised person may at any reasonable time enter the land to carry out works; to survey the land for the purpose of ascertaining the effect on it of works carried out; or to survey the land for the purpose of ascertaining the location, extent and state of mine working produced by relevant operations, the state of the land, the risk of collapse of its surface, the likely extent of collapse, and the nature and extent of any works which may be necessary to prevent collapse or to deal with a collapse which has occurred.",2015-07-24,2015-07-24,,power
1933,Transport - district securing provision of public transport services ,A non-metropolitan district council shall have power to secure the provision of such public passenger transport services as they consider it appropriate to secure to meet any public transport requirements within their area which would not in their view be met apart from any action taken by them for that purpose.,2015-07-24,2017-11-29,,power
1934,Transport - co-operation between certain councils and London Regional Transport,Any non-metropolitan county or district council and Wales and Transport for London shall each have power to enter into any agreement or arrangements with the other under which they undertake to contribute towards any expenditure incurred by the other party to the agreement or arrangements in making payments to a person providing a public passenger transport service under any agreement entered into by that other party in exercise of any power that other party may have to secure the provision of that service.,2015-07-24,2015-07-24,,power
1935,Transport - powers of investment and disposal in relation to public transport companies,"A district council can subscribe for shares on formation of a company formed by them (whether alone or jointly with any other council) in pursuance of this Act; or acquire any shares in or other securities of a company.  Any such council shall have power to provide for the disposal, in such manner as they think fit, of any such shares or other securities.",2015-07-24,2015-07-24,,power
1936,Transport - provision of services for public transport companies,"A district council shall have power to enter into an agreement with any associated company, or with any subsidiary of an associated company,  for the provision of any administrative, professional or technical services.",2015-07-24,2015-07-24,,power
1937,Transport - financial backing for establishment and operations of public transport companies,"A district council shall have power to make loans to any associated company, or to guarantee loans made to any associated company by any other person, for the provision of working capital.",2015-07-24,2015-07-24,,power
1938,"Transport - provision, maintenance and operation of bus stations","Where a council who, at the time when section 66 of the Act came into force (January 11, 2010), were providing a service for the carriage of passengers by road which required a PSV operator's licence, that council shall have power to maintain, repair and operate bus stations and associated facilities provided by them under their former powers.",2015-07-24,2015-07-24,,power
1939,Transport - expenditure on public passenger transport services,"It shall be the duty of any authority responsible for expenditure on public passenger transport services to enter into agreements providing for service subsidies (however framed, and whether arising under this Act or under any other enactment) to co-operate with one another so as to secure, in the interests of the ratepayers of their areas",2015-07-24,2015-07-24,,duty
1940,Transport - travel concessions on services provided by local authorities,There is power to provide travel concessions for persons travelling on the service in accordance with a scheme established under section 93 of this Act or in accordance with section 145A(1) or 145B(1) of the Transport Act 2000,2015-07-24,2018-02-02,,power
1941,Transport - grants for transport facilities and services,"An authority to whom this applies may make grants to any other person towards expenditure incurred or to be incurred by that person in providing, maintaining or improving any vehicle, equipment or other facilities provided wholly or mainly for the purpose of facilitating travel by members of the public who are disabled; or any equipment or other facilities specially designed or adapted for that purpose which are incorporated in any vehicle, equipment or other facilities not provided wholly or mainly for that purpose.",2015-07-24,2015-07-24,,power
1942,Transport - grants for bus services,A parish council or community council may make grants to any body towards expenditure incurred or to be incurred by that body in connection with the operation of a bus service appearing to the council to be wholly or mainly for the benefit of members of the public who are elderly or disabled; or a community bus service ,2015-07-24,2015-07-24,,power
1943,Weights and measures - special powers of inspectors with respect to certain goods,"An inspector may, at all reasonable times, inspect and test any weighing or measuring equipment which is, or which he has reasonable cause to believe to be, used for trade or in the possession of any person or upon any premises for such use, inspect any goods regarding which a representation has been made as to the quantity of any goods offered or exposed for sale or sold, and enter any premises at which he has reasonable cause to believe there to be any such equipment or goods, not being premises used only as a private dwelling-house.",2015-07-24,2017-11-27,,power
1944,Airports - transfer of airport undertakings of local authorities,"Where a principal council have formed a company to transfer the airport undertakings to, the council shall, before such date as the Secretary of State may specify in a direction given to the council, submit to the Secretary of State a scheme providing for the transfer to the company of any property, rights or liabilities of the council, or of any subsidiary of theirs, which it appears to the council to be appropriate to transfer to that company.",2015-07-24,2015-07-24,,duty
1945,Airports - control over constitution and activities of public airport companies,"It shall be the duty of the controlling authority of a public airport company to exercise their control over the company so as to ensure that at least three of the directors of the company, or at least one-quarter of their number (whichever is less), are full-time employees of the company who are suitably qualified to act as directors of the company by virtue of their experience in airport management and ensure that the company does not engage in activities in which the controlling authority have no power to engage, or permit any subsidiary of the company to engage in any such activities.",2015-07-24,2015-07-24,,duty
1946,Airports - powers of investment and disposal in relation to public airport companies,"a principal council shall have power at any time to subscribe for, take up, acquire or dispose of any securities of any associated company and a local authority shall have power, with the consent of the Secretary of State, to acquire securities of any company which carries on the business of operating an airport as a commercial undertaking and is not an associated company",2015-07-24,2015-07-24,,power
1947,Airports - other local authority capital controls and Wales,It shall be the duty of the controlling authority of a public airport company to exercise their control over the company so as to ensure that the company appoints as auditors of the company only persons who are approved for appointment as such auditors ,2015-07-24,2015-07-24,,duty
1948,Airports - provision of services for public airport companies,"A principal council shall have power to enter into an agreement with any associated company, or with any subsidiary of an associated company, for the provision by the council for professional or technical services",2015-07-24,2015-07-24,,power
1949,Airports - financial backing for establishment and operations of public airport companies,"A principal council shall have power to make loans to any associated company, or to guarantee loans made to any associated company by any other person, for the provision of working capital",2015-07-24,2015-07-24,,power
1950,Disabled persons - rights of authorised representatives of disabled persons,"A local authority shall permit the authorised representative of a disabled person, if so requested by the disabled person to act as their representative in connection with the provision by the authority of any services in the exercise of any of their functions under the welfare enactments, or to accompany the disabled person (otherwise than as his representative) to any meeting or interview held by or on behalf of the authority in connection with the provision by them of any such services.",2015-07-24,2015-07-24,,duty
1951,Disabled persons - assessment by local authorities of needs of disabled persons,"If it falls to a local authority to decide whether the needs of a disabled person call for the provision by the authority of any statutory services for that person, the authority shall afford an opportunity to the disabled person or his authorised representative to make, within such reasonable period as the authority may allow for the purpose, representations ",2015-07-24,2015-07-24,,duty
1952,Disabled persons - duty to consider needs of disabled persons,"When requested to do so by—
(a) a disabled person,
(b) his authorised representative, or
(c) any person who provides care for him in the circumstances mentioned in section 8,
a local authority shall decide whether the needs of the disabled person call for the provision by the authority of any services in accordance with section 2(1) or (4) of the 1970 Act (provision of welfare services).
In the case of a local authority in England this section applies only if the disabled person is aged under 18.",2015-07-24,2015-07-24,,duty
1953,Disabled persons - disabled persons leaving special education,Where a local authority have made a SEN statement in respect of a child and the statement is still maintained by the authority when they review the statement the authority shall at that time require the appropriate officer to give to the authority his opinion as to whether the child is or is not a disabled person.,2015-07-24,2015-07-24,,duty
1954,Disabled persons - review of expected leaving dates from full - time education of disabled persons,The authority shall keep under review the date when any disabled student is expected to cease to receive relevant full-time education. ,2015-07-24,2015-07-24,,duty
1955,Disabled persons - persons discharged from hospital,"Where a local authority receive a notification given with respect to a person that a person is to be discharged from a hospital after having received medical treatment for mental disorder as an in-patient for a continuous period of not less than 6 months, the authority shall make arrangements for an assessment of the needs of that person with respect to the provision of any services under any of the welfare enactments.",2015-07-24,2015-07-24,,duty
1956,Disabled persons - duty of local authority to take into account abilities of carer,"Where a disabled person is living at home and receiving a substantial amount of care on a regular basis from another person (who is not a person employed to provide such care by any body in the exercise of its functions under any enactment), and it falls to a local authority to decide whether the disabled person's needs call for the provision by them of any services for him under any of the welfare enactments, the local authority shall, in deciding that question, have regard to the ability of that other person to continue to provide such care on a regular basis.",2015-07-24,2015-07-24,,duty
1957,Local authority publicity - separate account of expenditure on publicity,"A local authority shall keep a separate account of their expenditure on publicity, which must be made available for inspections free of charge.  Publicity refers to any communication, in whatever form, addressed  to the public at large or to a section of the public",2015-07-24,2015-07-24,,duty
1958,Public order - prohibiting trespassory assemblies,"If the chief officer of police reasonably believes that an assembly is intended to be held in a place which the public has no right to access or and that the assembly is likely to be held without the permission of the occupier of the land, and may result in serious disruption to the life of the community, or where the land, or a building or monument on it, is of historical, architectural, archaeological or scientific importance, in significant damage to the land, building or monument, he may apply to the council of the district for an order prohibiting for a specified period the holding of all trespassory assemblies in the district or a part of it, as specified.    On receiving such an application, a council may and Wales, with the consent of the Secretary of State make an order either in the terms of the application or with such modifications as may be approved by the Secretary of State",2015-07-24,2015-07-24,,power
1959,Consumer protection -  enforcement of safety provisions,It shall be the duty of every weights and measures authority in Great Britain to enforce within their area the safety provisions.,2015-07-24,2015-07-24,,duty
1960,Safety of stands at sports grounds - issue of certificates,"The local authority shall in respect of any stand at a sports ground in their area make a preliminary determination whether or not that stand is a regulated stand and, if they determine that it is, they shall serve a notice on the person who appears to them to qualify for the issue of a general safety certificate stating their determination and the effects of it.    It shall also be their duty to determine whether an applicant for a safety certificate qualifies for the issue of the certificate.  The local authority shall notify the relevant bodies     The local authority may, by notice, require an applicant for a safety certificate to furnish them within such reasonable time as they may specify in the notice with such information and such plans of the ground as they consider necessary for the purpose of discharging their functions in respect of the issue of safety certificates for the regulated stands at the ground.",2015-07-24,2017-11-16,,duty
1961,"Safety of stands at sports grounds - amendment, cancellation etc. of certificates","The local authority who have issued a safety certificate for a regulated stand at a sports ground can cancel, amend or replace the certificate",2015-07-24,2017-11-27,,power
1962,Safety of stands at sports grounds - enforcement,It shall be the duty of every local authority to enforce within their area the safety provisions in respect of places of sport and to arrange for the periodical inspection of sports grounds at which there are regulated stands,2015-07-24,2015-07-24,,duty
1963,Safety of stands at sports grounds - powers of entry and inspection,"A person authorised by the local authority may enter a sports ground at any reasonable time, and make such inspection of the stands and such inquiries relating to them as he considers necessary for the purposes of safety, and in particular may examine records of the number of spectators accommodated, and the maintenance of safety, in the regulated stands at the ground, and take copies of such records.",2015-07-24,2015-07-24,,power
1964,Housing  - offences related to tenants' first right of refusal,"A landlord commits an offence if, without reasonable excuse, he makes a relevant disposal affecting premises without having first complied with the requirements regards the service of notices on the qualifying tenants of flats contained in the premises, or in contravention of any prohibition or restriction imposed.   Proceedings may be brought by a local housing authority.",2015-07-24,2015-07-24,,power
1965,Trading standards - enforcement of remedies for copyright enfringement,It is the duty of every local weights and measures authority to enforce within their area the copyright provisions.  ,2015-07-24,2015-07-24,,duty
1966,Education - provision of higher and further education,A local authority shall have power to secure the provision for their area of such facilities for higher education as appear to them to be appropriate for meeting the needs of the population of their area; secure the provision of higher education for persons [from other areas] and do anything which appears to them to be necessary or expedient for the purposes of or in connection with such provision.,2015-07-24,2015-07-24,,power
1967,Health and safety - maintaining of and access to registers of notices,"Duty of those with duties/powers under the Health and Safety at Work etc. Act 1974, Safety of Sports Grounds Act 1975, Food and Environment Protection Act 1985 and The Regulatory Reform (Fire Safety) Order 2005 to maintain an indexed register of relevant notices open for inspection by the public free of charge at all reasonable hours ",2015-07-24,2015-07-24,,duty
1968,Procurement - exclusion of non-commercial considerations from contracts,"It is the duty of every public authority in relation to its public supply or works contracts, to exclude non-commercial considerations  ",2015-07-24,2015-07-24,,duty
1969,Procurement - explanation of procurement decisions,"Public authorities have a duty to give reasons for certain contract decisions to the person concerned.  This includes decisions regarding approved suppliers, contract awards and existing contracts.",2015-07-24,2015-07-24,,duty
1970,Procurement - review of approved supplier list,"It is the duty of a public authority which maintains an approved list to consider whether persons have been included in or excluded from the list by reference to non-commercial matters, and if it appears to the authority that that is the case to compile the list afresh.",2015-07-24,2015-07-24,,duty
1971,Housing - financial assistance for privately let housing accommodation,"A local housing authority shall have power to provide any person with financial assistance for the purposes of, or in connection with, the acquisition, construction, conversion, rehabilitation, improvement, maintenance or management (whether by that person or by another) of any property which is or is intended to be privately let as housing accommodation.",2015-07-24,2015-07-24,,power
1972,Non-domestic rating - local rating lists,"The valuation officer for a billing authority shall compile, and then maintain, lists for the authority (to be called its local non-domestic rating lists).  As soon as is reasonably practicable after receiving the copy the authority shall deposit it at its principal office and take such steps as it thinks most suitable for giving notice of it.",2015-07-24,2015-07-24,,duty
1973,Non-domestic rating Wales - local non-domestic rating lists for amalgamated authorities,"A new billing authority receiving a copy of an amalgamated list (amalgamated list shall contain the information which was included in the local non-domestic rating lists complied on 1st April 1995 for the old billing authorities) shall, as soon as is reasonably practicable, deposit it at its principal office.",2015-07-24,2015-07-24,,duty
1974,Non-domestic rating - rural settlement lists,"Each billing authority shall compile and maintain, a list (to be called its rural settlement list).  It shall identify for each such year any settlements which are wholly or partly within the authority's area, appear to the authority to have had a population of not more than 3,000 on the last 31st December before the beginning of the chargeable financial year in question, and in that financial year are wholly or partly within an area designated by the Secretary of State by order as a rural area for the purposes of this section.  ",2015-07-24,2015-07-24,,duty
1975,Non-domestic rating - preparation and maintenance of lists,"The billing authority shall, throughout the period of three months preceding the beginning of the first chargeable financial year for which a rural settlement list is to have effect, make available for inspection a draft of the list in the form in which the authority proposes that it should have effect for that year.",2015-07-24,2015-07-24,,duty
1976,Non-domestic rating - partly occupied hereditaments,Where a hereditament is shown in a billing authority's local non-domestic rating list and it appears to the authority that part of the hereditament is unoccupied but will remain so for a short time only the authority may require the valuation officer for the authority to apportion the rateable value of the hereditament between the occupied and unoccupied parts of the hereditament and to certify the apportionment to the authority. ,2015-07-24,2015-07-24,,power
1977,Non-domestic rating - reduction or remission of liability,"A billing authority may reduce any amount a person is liable to pay for hereditaments or remit payment of the whole of any amount a person would otherwise be liable to pay if the ratepayer would sustain and it is reasonable for the authority to do so, having regard to the interests of persons liable to pay council tax set by it.",2015-07-24,2015-07-24,,power
1978,Local government finance - revenue support grant England,"Where the sum shown by the relevant calculation (in an amending report) as falling to be paid to a receiving authority for the financial year concerned is less than that shown as falling to be paid to it by the relevant previous calculation, a sum equal to the difference shall be paid by the authority to the Secretary of State.",2015-07-24,2015-07-24,,duty
1979,Local government finance - revenue support grant Wales,"The Welsh Ministers shall calculate what sum, if any, falls to be paid to each receiving authority by way of revenue support grant for the year in accordance with the basis of distribution agreed.  Where the Welsh Ministers make a calculation that shows a decrease in the sum that falls to be paid to a receiving authority, the authority shall pay to the Welsh Ministers a sum equal to the difference. ",2015-07-24,2015-07-24,,duty
1980,Norfolk and Suffolk Broads  - general duty of public bodies,"If undertaking work in the Broads, a relevant authority shall have regard to the purposes of conserving and enhancing the natural beauty, wildlife and cultural heritage of the Broads; promoting opportunities for the understanding and enjoyment of the special qualities of the Broads by the public; and protecting the interests of navigation.",2015-07-24,2015-07-24,,duty
1981,Roads - offences for which local authorities may institute proceedings,"An authority institute proceedings for offences relating to safety equipment for children in motor vehicles, helmets and other head-worn appliances for motor cyclists, dogs on roads, parking places provided by the council, designated parking place controlled by the council or designated parking place in the council's area.",2015-07-24,2015-07-24,,power
1982,Children and families - special guardianship orders,"On receipt of a special guardianship notice from an individual, the local authority must investigate the matter and prepare a report for the court dealing with the suitability of the applicant to be a special guardian; such matters (if any) as may be prescribed by the Secretary of State; and any other matter which the local authority consider to be relevant.",2015-07-24,2015-07-24,,duty
1983,Children and families - special guardianship support services,"Each local authority must make arrangements for the provision within their area of special guardianship support services, which means counselling, advice and information; and such other services as are prescribed in relation to special guardianship.  There are various requirements for the local authority in respect of funding the service and assessment for eligibility of the service.",2015-07-24,2015-07-24,,duty
1984,Children and families - provision of services for children in need and their families,"It shall be the general duty of every local to safeguard and promote the welfare of children within their area who are in need; and so far as is consistent with that duty, to promote the upbringing of such children by their families, by providing a range and level of services appropriate to those children's needs.    Every local authority shall have the specific duties and powers set out in Part 1 of Schedule 2:    take reasonable steps to identify the extent to which there are children in need within their area publish information about services provided by them/others maintain a register of disabled children within their area assess the needs of children in need reasonable steps, to prevent children suffering ill-treatment or neglect.  Where it appears to a local authority that a child who is living on particular premises is suffering, or is likely to suffer, ill treatment at the hands of another person who is living on those premises; and that other person proposes to move from the premises, the authority may assist that other person to obtain alternative accommodation, provide services designed to minimise the effect on disabled children within their area of their disabilities, take reasonable steps designed to reduce the need to bring legal proceedings with respect to children within their area, make provisions appropriate for children in need/accommodated children, provide such family centres as they consider appropriate in relation to children within their area, take steps as are reasonably practicable, where any child within their area who is in need and whom they are not looking after is living apart from his family to enable him to live with his family; or to promote contact between him and his family, if, in their opinion, it is necessary to do so in order to safeguard or promote his welfare.  Every local authority shall, in making any arrangements for the provision of day care within their area; or designed to encourage persons to act as local authority foster parents, have regard to the different racial groups to which children within their area who are in need belong.    Every local authority shall facilitate the provision by others (including in particular voluntary organisations) of services which it is a function of the authority to provide ",2015-07-24,2015-07-24,,duty
1985,Children and families - day care for children in need,Every local authority shall provide such day care for children in need within their area who are aged five or under; and not yet attending school as is appropriate. ,2015-07-24,2017-11-29,,duty
1986,Children and families - provision of accommodation for children,"Every local authority shall provide accommodation for any child in need within their area.  Where a local authority provide accommodation for a child who is ordinarily resident in the area of another local authority, that other local authority may take over the provision of accommodation for the child within three months of being notified in writing.    A local authority may provide accommodation for any person who has reached the age of sixteen but is under twenty-one in any community home which takes children who have reached the age of sixteen if they consider that to do so would safeguard or promote his welfare.",2015-07-24,2017-11-28,,duty
1987,"Children and families - accommodation for children in police protection or detention or on remand, etc ","Every local authority shall make provision for the reception and accommodation of children who are removed or kept away from home for their protection, for children in police protection or remanded to accommodation",2015-07-24,2015-07-24,,duty
1988,looked after children - general duty of local authority,It shall be the duty of a local authority looking after any child to safeguard and promote his welfare; and to make such use of services available for children cared for by their own parents as appears to the authority reasonable in his case.,2015-07-24,2015-07-24,,duty
1989,Looked after children - provision of accommodation,"When a child is in the care of a local authority, it is their duty to provide the child with accommodation.",2015-07-24,2015-07-24,,duty
1990,Looked after children - maintenance,It is the duty of a local authority to maintain a child they are looking after in other respects apart from the provision of accommodation.,2015-07-24,2015-07-24,,duty
1991,Looked after children - ways to be accommodated and maintained,"Where it is appropriate, the local authority must make arrangements for a looked after child to live with: a parent; a person with parental responsibility; or where a child is in the care of the local authority and there was a residence order in force immediately before the care order was made, a person in whose favour the residence order was made.",2015-07-24,2015-07-24,,duty
1992,Looked after children - children's homes provided by appropriate national authority,"Where a local authority place a child they are looking after in a children's home provided, equipped and maintained by an appropriate national authority, they must do so on such terms as that national authority may from time to time determine.",2015-07-24,2015-07-24,,duty
1993,Looked after children - promoting contact,"Where a child is being looked after by a local authority Part 2 of Schedule 2 states: the authority shall, where appropriate, endeavour to promote contact between the child and his parents; any person who is not a parent of his but who has parental responsibility for him; and any relative, friend or other person connected with him and keep them informed of where he is being accommodated.  ",2015-07-24,2017-11-29,,duty
1994,Looked after children - general duty of local authority to secure sufficient accommodation,"It is the general duty of a local authority to take steps that secure, so far as reasonably practicable, to provide the children with accommodation that is within the authority's area; and meets the needs of those children",2015-07-24,2015-07-24,,duty
1995,Looked after children - provision of accommodation and maintenance by local authority,"It shall be the duty of any local authority looking after a child when he is in their care, to provide accommodation for him; and to maintain him in other respects apart from providing accommodation for him.",2015-07-24,2015-07-24,,duty
1996,Looked after children - additional functions of the responsible authority,"It is the duty of each local authority to take reasonable steps to keep in touch with a relevant child for whom they are the responsible authority, whether he is within their area or not; to appoint a personal adviser for each relevant child; and to carry out an assessment of his needs (where there is not already a pathway plan) with a view to determining what advice, assistance and support it would be appropriate for them to provide ",2015-07-24,2015-07-24,,duty
1997,Looked after children - functions in respect of former relevant children,"Each local authority shall have the duties towards a person who has been a relevant child and a person who was being looked after by them when he attained the age of eighteen, and a former relevant child. ",2015-07-24,2015-07-24,,duty
1998,Looked after children - assistance to pursue education or training ,It is the duty of the responsible local authority to appoint a personal adviser for a former relevant child and to assess their needs and prepare a pathway plan.,2015-07-24,2015-07-24,,duty
1999,"Looked after children - visits to, and contact with, looked after children and others ","It is the duty of the local authority to ensure that a looked after child is visited by a representative of the authority; to arrange for appropriate advice, support and assistance to be available ",2015-07-24,2015-07-24,,duty
2000,Looked after children - independent visitors,A local authority looking after a child must appoint an independent person to be the child's visitor in prescribed circumstances,2015-07-24,2015-07-24,,duty
2001,Children and young people - advice and assistance for certain children and young persons,"If the conditions are satisfied the local authority shall advise and befriend him if he was being looked after by a local authority or was accommodated by or on behalf of a voluntary organisation.  Where as a result of this section a local authority are under a duty, or are empowered, to advise and befriend a person, they may also give him assistance.",2015-07-24,2015-07-24,,duty
2002,"Children and young people - assistance with employment, education and training","If the conditions are satisfied the relevant local authority may give assistance to any person by contributing to expenses incurred by him in living near the place where he is, or will be, employed or seeking employment.",2015-07-24,2015-07-24,,power
2003,Children and young people - information to another authority,"Where it appears to a local authority that a person with whom they are under a duty to keep in touch; or whom they have been advising and befriending ; or to whom they have been giving assistance, proposes to live, or is living, in the area of another local authority, they must inform that other authority.",2015-07-24,2015-07-24,,duty
2004,Children and young people - representations regarding discharge of duties,Every local authority shall establish a procedure for considering representations (including complaints) made to them by a relevant child; a person qualifying for advice and assistance; or certain others about the discharge of their functions to them.,2015-07-24,2015-07-24,,duty
2005,Looked after children - appointment of independent reviewing officer,"If a local authority are looking after a child, they must appoint an individual as the independent reviewing officer for that child's case.",2015-07-24,2015-07-24,,duty
2006,Children and young people - Review of cases and inquiries into representations,"Every local authority shall establish a procedure for considering any representations (including any complaint) made to them by any child who is being looked after by them or who is not being looked after by them but is in need; a parent of his; any person who is not a parent of his but who has parental responsibility for him; any local authority foster parent; such other person as the authority consider has a sufficient interest in the child's welfare to warrant his representations being considered by them, about the discharge by the authority of any of their qualifying functions in relation to the child.",2015-07-24,2015-07-24,,duty
2007,Children and families - advocacy services,Every local authority shall make arrangements for the provision of assistance to persons/children who make or intend to make representations.,2015-07-24,2015-07-24,,duty
2008,Children and young people - co-operation between authorities,"Where it appears to a local authority that any authority (local authority, local housing authority, health board etc) could, by taking any specified action, help in the exercise of any of their functions, they may request the help of that other authority.  An authority whose help is so requested shall comply with the request if it is compatible with their own statutory or other duties and obligations and does not unduly prejudice the discharge of any of their functions.",2015-07-24,2015-07-24,,power
2009,Children and families - recoupment of cost of providing services etc.,"Where a local authority provide any service other than advice, guidance or counselling, in certain circumstances they may recover such charge for the service as they consider reasonable.",2015-07-24,2015-07-24,,power
2010,Children in care - care orders and care plans ,"Where an application is made on which a care order might be made with respect to a child, the appropriate local authority must, within such time as the court may direct, prepare a plan (a care plan) for the future care of the child.",2015-07-24,2018-01-26,,duty
2011,Children in care - effect of care order,Where a care order is made with respect to a child it shall be the duty of the local authority designated by the order to receive the child into their care and to keep him in their care while the order remains in force,2015-07-24,2018-01-26,,duty
2012,Children in care - parental contact etc. with children in care,"Where a child is in the care of a local authority, the authority shall allow the child reasonable contact with his parents; any guardian; any person who has parental responsibility for him; where there was a residence order in force with respect to the child immediately before the care order was made, the person in whose favour the order was made; and where, immediately before the care order was made, a person had care of the child by virtue of an order made in the exercise of the High Court's inherent jurisdiction with respect to children, that person.",2015-07-24,2015-07-24,,duty
2013,Child protection - local authority's duty to investigate,"Where a local authority are informed that a child who lives, or is found, in their area is the subject of an emergency protection order; or is in police protection; or have reasonable cause to suspect that a child who lives, or is found, in their area is suffering, or is likely to suffer, significant harm, the authority shall make, or cause to be made, such enquiries as they consider necessary to enable them to decide whether they should take any action to safeguard or promote the child's welfare.",2015-07-24,2015-07-24,,duty
2014,Looked after children and child welfare - provision of community homes,"Every local authority shall make such arrangements as they consider appropriate for securing that community homes are available for the care and accommodation of children looked after by them; and for purposes connected with the welfare of children (whether or not looked after by them), and may do so jointly with one or more other local authorities.",2015-07-24,2015-07-24,,duty
2015,Children in care - accommodation provided by voluntary organisation,"Every local authority shall satisfy themselves that any voluntary organisation providing accommodation within the authority's area for any child; or outside that area for any child on behalf of the authority, are satisfactorily safeguarding and promoting the welfare of the children so provided with accommodation.  Further, every local authority shall arrange for children who are accommodated within their area by or on behalf of voluntary organisations to be visited, from time to time, in the interests of their welfare.",2015-07-24,2015-07-24,,duty
2016,Fostering - welfare of privately fostered children,It shall be the duty of every local authority to satisfy themselves that the welfare of children who are or are proposed to be privately fostered within their area is being or will be satisfactorily safeguarded and promoted and to secure that such advice is given to those as appears to the authority to be needed. ,2015-07-24,2015-07-24,,duty
2017,Fostering - power to prohibit private fostering,"Where the local authority for the area within which the child is proposed to be, or is being, fostered are of the opinion that he is not a suitable person to foster a child; the premises in which the child will be, or is being, accommodated are not suitable; or it would be prejudicial to the welfare of the child for him to be, or continue to be, accommodated by that person in those premises, the authority may impose a prohibition on him",2015-07-24,2015-07-24,,power
2018,Child welfare - children accommodated by health authorities and local education authorities,"Where a child is provided with accommodation by a local authority in the exercise of education functions for a consecutive period of at least three months; or with the intention, on the part of that authority, of accommodating him for such a period, the accommodating authority shall notify the responsible authority. ",2015-07-24,2015-07-24,,duty
2019,Child welfare - visitors for children notified to local authority,"If the appropriate officer of a local authority has been notified of children in certain establishments, the local authority must make arrangements for the child to be visited by a representative of the authority.",2015-07-24,2015-07-24,,duty
2020,Local government - political restriction of officers and staff,It shall be the duty of every local authority to prepare and maintain a list of politically restricted posts and deposit that list prepared with their proper officer and to revise that list as and when necessary,2015-07-24,2015-07-24,,duty
2021,Local government - grant and supervision of exemptions from political restriction in Wales,Wales    It shall be the duty of a local authority to give a person appointed to carry out the functions in relation to political restriction all such information as he reasonably requires for the purpose of carrying out his functions and to comply with any direction in respect of the maintained list of politically restricted posts.,2015-07-24,2015-07-24,,duty
2022,Local government - grant and supervision of exemptions from political restriction in England,Every local authority must give the head of paid service all such information as he reasonably requires for the purpose of carrying out its functions in relation to political restriction and to comply with any direction in respect of the maintained list of politically restricted posts.,2015-07-24,2015-07-24,,duty
